score,genres
,['documentation']
8.3,"['crime', 'drama']"
8.2,"['comedy', 'fantasy']"
8.0,['comedy']
8.1,['horror']
8.8,"['comedy', 'european']"
7.7,"['thriller', 'crime', 'action']"
7.8,"['drama', 'music', 'romance', 'family']"
5.8,"['romance', 'drama']"
7.7,"['drama', 'crime', 'action']"
7.3,"['western', 'action', 'european']"
7.5,"['war', 'action', 'drama']"
7.6,"['comedy', 'animation', 'action', 'fantasy', 'family']"
8.1,"['comedy', 'documentation']"
6.9,"['western', 'crime']"
7.5,"['romance', 'comedy', 'music']"
7.5,"['drama', 'crime', 'comedy']"
7.2,['documentation']
7.5,"['documentation', 'history', 'european']"
6.2,"['comedy', 'documentation', 'music']"
7.6,"['drama', 'war', 'action', 'history', 'romance']"
6.4,"['drama', 'thriller', 'crime']"
6.7,"['drama', 'action', 'romance', 'thriller']"
7.2,['drama']
6.8,"['drama', 'thriller', 'crime', 'history']"
9.0,"['comedy', 'drama']"
6.7,['fantasy']
2.1,"['drama', 'comedy', 'romance', 'action', 'crime']"
7.4,"['romance', 'crime', 'drama']"
8.1,['comedy']
7.2,"['drama', 'crime']"
6.9,['romance']
,['comedy']
,['comedy']
,['comedy']
6.5,"['comedy', 'drama', 'romance']"
6.5,['drama']
6.2,['documentation']
7.8,['documentation']
6.2,['drama']
6.7,"['romance', 'crime', 'drama']"
6.2,"['drama', 'action', 'romance', 'family', 'fantasy']"
6.8,"['romance', 'comedy', 'drama']"
4.6,['romance']
4.2,"['drama', 'romance', 'action']"
5.1,"['drama', 'crime', 'thriller']"
6.9,"['drama', 'action']"
8.9,['comedy']
8.1,['drama']
8.3,"['drama', 'crime', 'european']"
7.7,"['romance', 'comedy', 'drama']"
6.7,"['scifi', 'action', 'comedy', 'family']"
8.3,"['drama', 'war']"
6.7,"['horror', 'thriller', 'european']"
7.4,['horror']
6.9,"['action', 'scifi', 'crime', 'drama']"
7.8,"['drama', 'european']"
6.5,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']"
6.6,"['drama', 'family', 'comedy']"
6.5,"['horror', 'fantasy', 'thriller']"
7.1,"['comedy', 'romance', 'family']"
6.7,"['comedy', 'romance']"
7.6,"['comedy', 'documentation']"
4.9,"['drama', 'romance']"
6.7,['family']
6.4,"['comedy', 'family']"
6.1,"['comedy', 'animation', 'family', 'crime', 'european']"
7.4,"['comedy', 'family', 'scifi', 'animation', 'european']"
7.2,"['scifi', 'drama', 'war', 'animation', 'action']"
7.3,"['scifi', 'animation', 'action', 'drama', 'war']"
7.2,"['comedy', 'documentation']"
6.0,"['comedy', 'documentation']"
7.9,"['comedy', 'documentation']"
6.0,['drama']
6.0,['drama']
8.0,['comedy']
7.7,"['animation', 'action', 'drama', 'scifi', 'war']"
7.6,"['action', 'crime', 'drama']"
8.1,['comedy']
6.7,"['drama', 'war']"
7.0,"['crime', 'drama']"
6.5,"['drama', 'romance']"
7.2,['drama']
5.6,"['drama', 'crime']"
6.6,"['romance', 'comedy', 'drama']"
8.7,"['comedy', 'drama']"
7.1,['drama']
6.5,['drama']
6.3,['drama']
5.1,"['action', 'crime', 'thriller']"
5.8,"['crime', 'drama', 'thriller']"
,['drama']
,['comedy']
4.8,"['comedy', 'drama', 'family', 'action']"
6.1,"['romance', 'action', 'drama']"
6.3,"['drama', 'war', 'european']"
,['comedy']
6.2,"['drama', 'action']"
3.8,['comedy']
6.1,"['drama', 'action']"
5.2,"['drama', 'thriller', 'action']"
5.4,"['drama', 'action', 'crime']"
7.3,"['fantasy', 'drama']"
6.3,"['family', 'romance']"
6.5,"['western', 'thriller', 'action', 'romance']"
7.4,['reality']
8.4,"['scifi', 'drama', 'action']"
7.6,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']"
8.8,"['drama', 'romance', 'comedy']"
7.0,"['comedy', 'sport']"
8.8,"['action', 'comedy', 'animation', 'drama', 'fantasy']"
8.6,"['drama', 'war']"
8.9,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']"
8.1,"['scifi', 'action', 'drama']"
7.8,"['reality', 'comedy', 'drama', 'scifi']"
7.8,"['thriller', 'drama', 'scifi']"
8.2,"['comedy', 'drama']"
7.1,"['action', 'scifi', 'horror']"
6.7,"['romance', 'drama', 'comedy']"
7.3,"['scifi', 'thriller', 'action']"
8.5,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']"
7.8,"['scifi', 'comedy', 'family', 'fantasy', 'animation']"
7.7,"['thriller', 'drama', 'crime']"
6.5,"['scifi', 'action', 'fantasy', 'family']"
6.5,"['thriller', 'crime', 'action']"
6.2,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']"
6.6,"['drama', 'thriller', 'crime', 'european']"
6.4,"['comedy', 'action', 'fantasy']"
7.1,"['drama', 'history', 'war']"
7.5,"['horror', 'thriller', 'drama']"
7.2,['drama']
7.3,"['drama', 'european']"
7.6,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']"
7.2,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']"
7.9,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']"
6.9,"['drama', 'sport']"
7.5,"['drama', 'crime', 'thriller']"
7.1,"['thriller', 'action', 'crime', 'western', 'european']"
6.8,"['action', 'thriller', 'western', 'comedy', 'romance']"
7.2,"['drama', 'action', 'history', 'war']"
6.5,['comedy']
6.0,"['drama', 'family']"
,['reality']
4.5,"['action', 'comedy', 'family', 'sport']"
7.2,"['drama', 'thriller', 'action', 'crime']"
6.6,"['comedy', 'sport']"
5.6,"['scifi', 'thriller', 'action', 'drama']"
7.3,"['drama', 'family', 'romance']"
4.8,"['thriller', 'horror', 'action']"
6.9,"['comedy', 'drama', 'family', 'romance', 'european']"
6.5,"['thriller', 'action', 'animation']"
5.7,"['horror', 'thriller']"
6.0,"['scifi', 'action', 'comedy', 'family']"
3.8,['family']
5.8,"['scifi', 'action', 'horror', 'thriller']"
5.4,"['thriller', 'scifi', 'action']"
8.0,"['scifi', 'action', 'drama', 'fantasy', 'animation']"
5.2,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']"
5.6,"['comedy', 'family']"
5.9,"['thriller', 'action', 'crime', 'drama']"
6.2,"['thriller', 'drama', 'action', 'crime', 'european']"
7.0,"['thriller', 'european', 'crime', 'drama']"
4.7,"['fantasy', 'scifi', 'action', 'comedy', 'family']"
6.4,"['drama', 'crime', 'thriller']"
4.5,"['drama', 'family', 'romance', 'sport', 'action']"
4.7,"['thriller', 'horror']"
4.7,"['scifi', 'action', 'comedy', 'thriller']"
6.5,"['thriller', 'crime', 'drama', 'european']"
5.7,"['drama', 'comedy', 'family']"
6.2,"['comedy', 'drama', 'family']"
8.0,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']"
6.5,"['western', 'drama', 'history']"
6.6,"['romance', 'comedy', 'drama']"
7.2,"['comedy', 'drama']"
,['comedy']
